sample	clade	PC1	PC2
DVIT0416_0000C__BIvDNAara1073G01_A11	Vv	-23.902289946193015	-0.8496831328045336
d12s59__vDNAdia1369E06_F08	NA1	36.52497723389546	35.59235606217656
DVIT0908_0000C__BIvDNAara1099A03_A02	Vv	-20.791582120937385	-1.8598258041904814
87__EXTvDNAels0022A01_B08	Mus	41.33735603291923	-44.260107235531365
0511.0000C__BIvDNAara0048D12_G03	Vv	-15.996372251581715	-1.061388063623533
E174__vDNAlon1139F07_H10	NA1	41.61736794667404	41.15067969346258
WV23_20_012__vDNAsap1569C04_D04	Vv	-27.980777352103843	0.21097782041367222
9.8.153__EXTvDNAbar0005H11_D07	Vv	-32.729117562737365	-0.8615865229865612
BLE1__EXTvDNAWOR0047A01_C01	Mus	36.66403899520846	-38.7831719778144
6.24.21__EXTvDNAbar0001A02_G08	Vv	-31.91318420569289	-0.8935315237888941
ChardonnaySelf2G11__BIvDNAnae0016B04_G11	Vv	-24.106822722654133	-1.0284726491590148
Parent_Ga8_1_313_1__EXTvDNAWOR0033A07_G01	Mus	40.97786996592203	-42.14542945099292
6.10.47__EXTvDNAbar0001A02_A08	Vv	-32.39545627297808	-0.5906948505884336
0452.0000C__BIvDNAara0051E03_D03	Vv	-17.05204069090552	-1.3907416582019294
DVIT0905_0000C__BIvDNAara1099A03_C02	Vv	-20.054535917851258	-1.7129999143415195
S4314__vDNAhei1337F11_H11	NA1	34.51522317738695	33.495791666895414
0473.0000C__BIvDNAara0047D11_H12	Vv	-17.10911679964365	-1.6279077996662115
DVIT0519_0000C__BIvDNAara1075G03_B08	Vv	-17.74331361267249	-0.9574858060117781
DVIT0336_0000C__BIvDNAara1073G01_E08	Vv	-23.914204193163854	-0.15738816592537297
9.2.47__EXTvDNAbar0004E09_B02	Vv	-31.737452343479575	-0.6960147511825667
9.2.82__EXTvDNAbar0004E09_C06	Vv	-31.366663424818217	-0.8594587419228602
A2Y1_C329L__vDNAlon918B05_G06	Vv	-28.88815123200997	-0.21697790575529943
Cristmas.Roze__EXTvDNAbar0010E10_G12	Vv	-32.992751600508505	-0.78650181337207
L_02_52__BIvDNAara1101A05_C08	Vv	-25.42780193858776	-1.359035445053345
E133__vDNAlon1139F07_E04	NA1	42.43822207552423	41.5033671407933
307__EXTvDNAels0024A03_H11	Mus	41.786876311231026	-44.59750700808731
lon094H08__vDNAlon787A12_E11	NA1	39.238344779314886	38.03161233451418
DVIT0502_0000C__BIvDNAara1075G03_A03	Vv	-19.58776632190994	-1.7615179459078454
DVIT0704_0000C__BIvDNAara1102A06_F06	Vv	-24.305433571177034	-0.8958967857310651
5.10.91__EXTvDNAbar0009D07_G11	Vv	-29.84281469224234	-1.4094315066621717
8.11.160__EXTvDNAbar0003C04_B04	Vv	-32.36525075767357	-0.8698620068669806
588204__vDNAlon095H11_F07	NA1	38.96877062114868	37.740721784896316
PI_588637__BIvDNAgut0034C10_G02	EA	9.785961123009622	12.81253313811235
2212.0007A__BIvDNAara0067A01_D07	NA2	26.266906349795722	21.30388918734229
2233.0005A__BIvDNAara0069A03_H10	NA2	26.87836031087975	22.936452776207613
5.3.81__EXTvDNAbar0011B01_D07	Vv	-31.402636864008816	-0.7430316082422365
CabSauv__vDNAlon1140F08_E10	Vv	-28.60151456226706	0.11733791216828073
2224.0005A__BIvDNAara0067A01_A06	NA2	26.98477741232446	23.07351979977686
BLACKEMERALD__BIvDNAnae0001A01_B08	Vv	-31.19695436911994	-0.5879563162622101
UMT4__EXTvDNAWOR0047A01_B04	Mus	33.59568372811058	-35.75123421313813
5.10.81__EXTvDNAbar0012C03_B06	Vv	-29.9071984779356	-0.8861349791566046
588160__vDNAlon506A10_C10	NA1	37.662577746024226	35.94888317952733
