sample	clade	PC1	PC2
1639.0000C__BIvDNAara0071A05_D03	NA2	-1.840695290304384	-8.794889105921271
1648.0000C__BIvDNAara0070A04_D12	NA2	-1.3041718639277704	-8.905713720585565
1701_75__EXTvDNAWOR0048A02_F09	Mus	51.14009567338977	14.187121117456265
1701_93__EXTvDNAWOR0048A02_G01	Mus	50.112840746188915	13.833107567172604
17_109_01__vDNAcad1067F07_B09	EA	-15.182120524862086	7.482623109018699
17_109_08__vDNAcad1067F07_A10	EA	-15.95111925646859	7.634621865070285
17_109_10__vDNAcad1067F07_C10	EA	-16.80364984071365	7.640375896716306
17_109_11__vDNAcad1067F07_D10	EA	-17.032697093550485	7.757892530709446
17_109_12__vDNAcad1067F07_E10	EA	-15.482542979428478	6.685214360949664
17_109_13__vDNAcad1067F07_F10	EA	-17.09120785175456	8.255601663890543
17_109_14__vDNAcad1067F07_G10	EA	-15.726040811099278	7.3326643564145035
17_109_24__vDNAcad1067F07_G11	EA	-14.954048025160134	6.997532826862912
17_109_27__vDNAcad1067F07_B12	EA	-17.17679819476767	7.350758250083734
17_109_36__vDNAcad1065F05_C02	EA	-16.995304233246316	8.405739897879334
17_109_38__vDNAcad1065F05_F07	EA	-17.001052119204523	7.584162971809624
17_109_39__vDNAcad1065F05_B11	EA	-16.22297603408279	8.372030859375602
17_109_40__vDNAcad1066F06_H05	EA	-15.839165229857747	7.678798624853393
17_109_41__vDNAcad1066F06_F08	EA	-17.201368946199118	7.696505798119687
17_109_43__vDNAcad1067F07_F02	EA	-17.177599995706675	7.877000326065775
17_109_44__vDNAcad1067F07_G02	EA	-15.776512102600273	6.820355678636735
17_109_47__vDNAcad1067F07_C06	EA	-14.209352603285714	7.004767644390913
17_2_104__EXTvDNAWOR0031A05_D10	Mus	46.284989615029694	12.545804694162836
17_2_12__EXTvDNAWOR0031A05_E03	Mus	47.37645928862779	12.921604357776067
17_2_167__EXTvDNAWOR0033A07_B05	Mus	49.09200820884137	13.252319481581525
17_2_25__EXTvDNAWOR0031A05_G04	Mus	47.670007852767135	12.953937879267608
17_2_53__EXTvDNAWOR0031A05_D06	Mus	46.966244907359346	13.061925539558851
17_2_80__EXTvDNAWOR0031A05_B08	Mus	48.88664968240328	13.50202976145872
17_2_86__EXTvDNAWOR0031A05_F08	Mus	49.46279456422584	13.536323559080037
17_2_8__EXTvDNAWOR0031A05_A03	Mus	51.909927705143105	14.542795719365328
1740.0000D__BIvDNAara0072A06_B08	Mus	19.43615207722879	4.354396196003046
1762.0000D__BIvDNAara0072A06_C10	Mus	20.742270534225543	5.268651200032538
179__EXTvDNAels0023A02_G07	Mus	52.76494276009631	14.3295486719062
1802.0000D__BIvDNAara0051E03_C09	Vv	-9.11337700489049	13.639233068212294
1820.0000C__BIvDNAara0070A04_C05	NA2	-5.184321105709221	-13.555700543496286
1844.0000A__BIvDNAara0069A03_B09	NA2	-5.591219696923384	-15.17812459502678
187__EXTvDNAels0023A02_G08	Mus	52.887051091869075	14.385507010742595
19-19_02__vDNAcad1068F08_F02	NA2	-5.81758429513245	-19.654503225104992
1920.0000A__BIvDNAara0065F05_A12	NA2	-6.083534856750966	-17.463880247041235
1961.0000C__BIvDNAara0065F05_B10	NA2	-5.714843839103819	-17.487899900754254
2005.0006A__BIvDNAara0065F05_F10	EA	-17.31389137042298	6.99006387319879
2005.0010A__BIvDNAara0065F05_G10	EA	-17.61492514356324	8.195287313386052
2006.0001A__BIvDNAara0065F05_H07	EA	-15.713184934967277	7.411694162576989
2006.0003A__BIvDNAara0065F05_B08	EA	-16.872794912670532	7.7538776841540535
2006.0005A__BIvDNAara0065F05_C08	EA	-14.645474556672223	6.963229651320851
2006-047__vDNAwor1641A04_A07	Mus	51.013294645298394	15.008720436522754
2006-075__vDNAwor1641A04_D10	Mus	49.960662759613136	14.95779400594817
2006-155__vDNAwor1640H03_H07	Mus	48.76846576886724	14.303764234038795
2010-095__vDNAwor1522F06_C01	Mus	47.50046705852179	12.99845246800113
2010-098__vDNAwor1522F06_F01	Mus	51.14970750856616	14.88308658972764
2010-104__vDNAwor1522F06_D02	Mus	51.57333119267444	14.383852471878114
2010-109__vDNAwor1522F06_A03	Mus	51.59518289761467	13.09921882798414
2010-167__vDNAwor1522F06_H10	Mus	46.82852532267916	13.103500506901435
2010-171__vDNAwor1522F06_D11	Mus	49.401508730410995	15.154586471227532
2010-214__vDNAwor1520F04_G04	Mus	46.773619845329705	15.925007202548032
2026.0000B__BIvDNAara0073A07_A05	EA	-4.765097794877008	3.5254149605052647
2027.0000B__BIvDNAara0073A07_B05	EA	-4.305491357517953	2.7284332771910367
2028.0000B__BIvDNAara0073A07_C05	EA	-5.476591882094064	2.873792451941548
2031.0000D__BIvDNAara0073A07_E05	EA	-3.466869902232287	2.662466355622864
2032.0000C__BIvDNAara0073A07_F05	EA	-5.175404007491841	2.6052653188182755
2033.0000C__BIvDNAara0073A07_G05	EA	-5.364081515024898	4.416234896026688
206__EXTvDNAels0023A02_B11	Mus	52.48075523441043	14.152461339045539
208__EXTvDNAels0023A02_D11	Mus	52.46310707026516	14.322337768601205
2098.0000E__BIvDNAara0069A03_B05	NA2	-5.764798844365577	-15.509094247859702
215__EXTvDNAels0023A02_C12	Mus	53.293484029103084	14.781638026420035
2183.0000B__BIvDNAara0073A07_A01	Mus	16.960009157151134	4.209460738661882
2202.0009A__BIvDNAara0069A03_A05	NA1	-4.802427367841675	-36.65297595525142
2203.0004A__BIvDNAara0068A02_B11	NA2	-3.937613607277372	-13.954483468035482
2215.0002A__BIvDNAara0067A01_E12	NA2	-6.373300909418436	-20.334039358746047
2216.0002A__BIvDNAara0068A02_F12	NA2	-6.637345860576145	-20.09135943402686
2216.0006A__BIvDNAara0053E05_F12	NA2	-6.44759556460126	-20.926372793485314
2217.0006A__BIvDNAara0067A01_E08	NA2	-6.090985452065616	-20.411995582580243
2217.0007A__BIvDNAara0067A01_F08	NA2	-6.110879205185717	-20.661611628834702
2217.0009A__BIvDNAara0067A01_G08	NA2	-6.0468253083747685	-21.031489476655075
2218.0016A__BIvDNAara0067A01_G09	NA2	-5.716561685180635	-20.087366850501486
