sample	clade	PC1	PC2
0042.0000B__BIvDNAara0070A04_F01	NA2	-8.843691171049523	-2.5373068673413988
0087.0000C__BIvDNAara0070A04_E02	NA2	-9.954373067883978	-2.097581334125855
0102.0000C__BIvDNAara0070A04_F02	NA2	-9.58520091580497	-1.70297142588017
0353.0000C__BIvDNAara0051E03_E06	Vv	0.23014629739816891	13.682265368228288
0357.0000C__BIvDNAara0048D12_A11	Vv	-0.8713316557559366	16.214285160902534
0367.0000C__BIvDNAara0050E02_E11	Vv	1.790735701001385	11.645073079623371
0414.0000W__BIvDNAara0048D12_D05	Vv	-0.35621460025444507	15.145923425107998
0608.0000C__BIvDNAara0050E02_H04	Vv	-0.9642527337954698	16.421651041851007
0671.0000C__BIvDNAara0045D09_C03	Vv	5.503376321418769	4.799774826342114
0679.0000C__BIvDNAara0041D05_C07	Vv	-0.41602112379648915	13.973157532808488
0699.0000E__BIvDNAara0053E05_F10	Vv	0.9656597110725105	12.925206579038845
0737.0000C__BIvDNAara0045D09_H04	Vv	1.3775289780883175	12.299389612825086
0766.0000C__BIvDNAara0042D06_H01	Vv	2.5559728011434744	10.547821528298533
0799.0000C__BIvDNAara0042D06_B05	Vv	2.5280800849587233	11.255637097928252
0900.0000C__BIvDNAara0043D07_E01	Vv	5.786257837994037	3.932432113540835
1006.0000C__BIvDNAara0044D08_D03	Vv	1.5467418076641084	12.06121549580769
1012.0000C__BIvDNAara0044D08_A04	Vv	1.0784116036639122	12.846819948833838
1021.0000C__BIvDNAara0044D08_A05	Vv	0.8524578933080784	12.903231865547287
1033.0000C__BIvDNAara0044D08_C06	Vv	0.6796460349076691	13.106232414261218
1121.0000A__BIvDNAara0053E05_D10	Vv	1.5098200599970153	12.358439161355406
1130.0000A__BIvDNAara0050E02_F03	Vv	1.7741793061059554	11.618423624346217
1156.0002A__BIvDNAara0065F05_D08	EA	0.6387964794068797	8.372393898372646
1156.0003A__BIvDNAara0065F05_E08	EA	-13.209654647094517	20.969664610241797
1156.0005A__BIvDNAara0065F05_G08	EA	-13.567212567247557	21.72877717627947
1156.0006A__BIvDNAara0065F05_H08	EA	1.4805228832763027	6.588906561505183
1156.0010B__BIvDNAara0065F05_B09	EA	-13.22773656372202	21.001045486598535
1156.0011A__BIvDNAara0065F05_C09	EA	-12.673660030745053	20.481506698353506
1156.0012A__BIvDNAara0065F05_D09	EA	-13.250405957440025	20.72214594428825
1159.0003A__BIvDNAara0065F05_E07	EA	-13.049896129623113	19.411225037212812
1159.0004A__BIvDNAara0065F05_F07	EA	0.03242048941539363	7.740148782089559
1159.0006A__BIvDNAara0065F05_G07	EA	-13.262964144176513	19.155787417508606
1159.0010A__BIvDNAara0053E05_H11	EA	-13.265968888892765	19.729331801156167
116__EXTvDNAels0022A01_G11	Mus	51.07838398225213	-6.272680875605002
1268.0000C__BIvDNAara0071A05_E07	NA1	-2.682676172909492	-13.612443923482434
