2215.0002A__BIvDNAara0067A01_E12	NA2
S1723__vDNAhei1333F07_H02	NA2
1156.0010B__BIvDNAara0065F05_B09	EA
d18s17__vDNAdia1375E12_A03	NA2
6.14.137__EXTvDNAbar0001A02_E11	Vv
1159.0003A__BIvDNAara0065F05_E07	EA
588629__vDNAcad441D05_D06	EA
17_109_39__vDNAcad1065F05_B11	EA
1701_75__EXTvDNAWOR0048A02_F09	Mus
17_109_41__vDNAcad1066F06_F08	EA
5.10.66__EXTvDNAbar0007B03_B11	Vv
E020__vDNAlon1138F06_C03	NA1
CINM__EXTvDNAsca1439D04_F09	NA2
1156.0005A__BIvDNAara0065F05_G08	EA
PI_588398__BIvDNAgut0039D03_C07	NA2
S1830__vDNAhei1333F07_A07	NA2
S0517__vDNAhei1330F04_C08	NA2
160x271_838__vDNAlon505A09_E12	NA1
160x271_930__vDNAlon506A10_F12	NA1
2005.0006A__BIvDNAara0065F05_F10	EA
1156.0012A__BIvDNAara0065F05_D09	EA
DVIT2112_0000B__BIvDNAara1076G04_B09	Vv
DVIT2323_0000A__BIvDNAara1076G04_H12	Vv
2010-098__vDNAwor1522F06_F01	Mus
2203.0004A__BIvDNAara0068A02_B11	NA2
44__EXTvDNAels0022A01_H02	Mus
H2825__vDNAhei1326E12_H06	NA1
2549_007__vDNAcad1066F06_A04	EA
17_109_47__vDNAcad1067F07_C06	EA
PI_318684__BIvDNAgut0026C02_A11	NA1
8.6.81__EXTvDNAbar0002B03_D11	Vv
8.14.187__EXTvDNAbar0003C04_E03	Vv
S1611__vDNAhei1332F06_B10	NA2
V_cinerea_B9__vDNArei092H08_H12	NA2
PI_483161__BIvDNAgut0032C08_A03	NA2
Y213.003__BIvDNAnae0015B03_C01	NA1
DVIT0843_0000F__BIvDNAara1100A04_B11	Vv
208__EXTvDNAels0023A02_D11	Mus
Unkx13_101_67__Screenhouse-Plate1_H06	NA1
E057__vDNAlon1138F06_C08	NA1
PI_588420.d__BIvDNAgut0037D01_D06	EA
160x271_926__vDNAlon506A10_B12	NA1
A1Y1_26RT__vDNAlon916B03_C09	NA1
H1511__vDNAhei1322E08_H08	NA1
PI_588260__BIvDNAgut0030C06_H10	NA1
588634__vDNAlon096H12_G03	EA
2242.0008A__BIvDNAara0066F06_F05	Mus
Chard__vDNAlon787A12_E03	Vv
160x271_768__vDNAlon505A09_B03	NA1
215__EXTvDNAels0023A02_C12	Mus
PI_588271__BIvDNAgut0032C08_G04	NA1
17_109_14__vDNAcad1067F07_G10	EA
2234.0006A__BIvDNAara0069A03_C12	NA2
Chardonnay__vDNAsap1563E03_H03	Vv
VIL8__EXTvDNAWOR0047A01_E04	Mus
127__EXTvDNAels0023A02_B01	Mus
E159__vDNAlon1139F07_D01	NA1
2006.0003A__BIvDNAara0065F05_B08	EA
160x271_810__vDNAlon505A09_D08	NA1
PI_597257__BIvDNAgut0034C10_G08	EA
2010-167__vDNAwor1522F06_H10	Mus
B02-5__EXTvDNAsca1439D04_D01	NA2
588216__vDNAlon096H12_C08	NA2
2010-171__vDNAwor1522F06_D11	Mus
129__EXTvDNAels0023A02_D01	Mus
DVIT0542_0000C__BIvDNAara1075G03_D10	Vv
588629__vDNAlon096H12_B05	EA
S0723__vDNAhei1330F04_G11	NA2
PI_588639__BIvDNAgut0034C10_F02	EA
PI_588177__BIvDNAgut0026C02_F09	Vv
ANA6_2__EXTvDNAWOR0048A02_B04	Mus
Thomas__Muscadine_Plate1_E01	Mus
Unkx13_101_11__Screenhouse-Plate1_B01	NA1
Sultanina.Monococo__EXTvDNAbar0006A01_C09	Vv
2218.0018A__BIvDNAara0067A01_A10	NA2
378__EXTvDNAels0025A04_H08	Mus
8.6.73__EXTvDNAbar0002B03_D07	Vv
160x271_903__vDNAlon506A10_F08	NA1
S0605__vDNAhei1330F04_G08	NA2
17_109_13__vDNAcad1067F07_F10	EA
160x271_880__vDNAlon506A10_G05	NA1
588271__vDNAlon505A09_D09	NA1
Crimson__EXTvDNAbar0007B03_C10	Vv
K0755__vDNAhei1307D05_C10	Vv
2218.0016A__BIvDNAara0067A01_G09	NA2
3309C_4__vDNAfen1153A07_F05	NA1
Sanalba__Muscadine_Plate1_H10	Mus
160x271_894__vDNAlon506A10_E07	NA1
2241.0012A__BIvDNAara0066F06_G04	Mus
Deutschheim_Mystery1__vDNAlon1201F02_D10	NA1
S1714__vDNAhei1333F07_G01	NA2
ND_1_99_15__vDNAhat908A07_G05	NA1
VRW_003__vDNAfen201A01_D04	NA1
RS_44__EXTvDNAhau1398G06_A09	Vv
PI_588197__BIvDNAgut0031C07_F05	NA2
AM189__Muscadine_Plate3_H03	Mus
588637__vDNAcad441D05_C05	EA
588406__vDNAlon095H11_H09	NA1
S1427__vDNAhei1332F06_C05	NA1
